	TE_20210719.3.ser\n54_dB_-_100_mM_acetone_w_20_%_naphthalene_in_CDCl3_1	TE_20210719.3.ser\n54_dB_-_100_mM_acetone_w_20_%_naphthalene_in_CDCl3_2	
1.95456	-37.8652	48.853	
1.95646	-37.5293	63.5624	
1.95837	-37.1924	-4.56458	
1.96027	-22.8789	-58.3328	
1.96218	-8.56543	53.5719	
1.96408	5.74902	72.2856	
1.96598	20.0625	8.16284	
1.96789	-21.5352	-45.6053	
1.96979	-63.1328	-99.3735	
1.9717	84.5088	-116.901	
1.9736	94.5215	-134.428	
1.9755	15.1123	-113.989	
1.97741	73.3311	-93.5491	
1.97931	79.9395	-31.6914	
1.98122	86.5469	30.1663	
1.98312	13.5889	37.6625	
1.98502	-59.3691	45.1588	
1.98693	16.7695	42.3005	
1.98883	92.9092	39.4423	
1.99073	85.5391	92.5633	
1.99264	78.1699	-19.9886	
1.99454	70.7998	-58.3328	
1.99645	63.4297	68.9958	
1.99835	44.5908	-15.9438	
2.00025	25.7529	-18.0471	
2.00216	-1.68848	-14.9731	
2.00406	-29.1289	-11.8991	
2.00597	77.2959	-3.43207	
2.00787	46.0918	5.03491	
2.00977	-42.457	13.502	
2.01168	6.62207	21.9689	
2.01358	-17.4131	28.7102	
2.01549	-41.4492	35.4514	
2.01739	-22.4756	42.1927	
2.01929	-3.50293	48.9339	
2.0212	5.56934	3.5788	
2.0231	14.6416	-41.7763	
2.025	23.7139	9.51111	
2.02691	32.7861	60.7985	
2.02881	34.6904	19.7578	
2.03072	36.5947	-21.2829	
2.03262	42.7988	-62.3236	
2.03452	49.0039	-103.364	
2.03643	-104.462	-84.0035	
2.03833	-189.113	-64.6426	
2.04024	-193.48	-45.2817	
2.04214	-197.849	-25.9209	
2.04404	-79.6416	-6.56	
2.04595	-76.125	12.8008	
2.04785	-104.147	32.1617	
2.04976	-63.3564	51.5226	
2.05166	-55.4492	40.4669	
2.05356	-47.542	29.4113	
2.05547	-121.352	18.3557	
2.05737	11.2822	7.29999	
2.05928	60.7646	-46.8997	
2.06118	41.4326	-101.099	
2.06308	0.59668	-141.493	
2.06499	28.5752	-43.8256	
2.06689	29.8516	-29.4263	
